,wind_speed,Avg_Wnd_Sp,wind_direction_N,water_l1,water_l1_ibge,water_l1_dhn,avg_water_l1,avg_water_l1_ibge,avg_water_l1_dhn,vazao_m3s-1_bt
2024-05-01 00:00:00+00:00,14.839322033898306,14.735593220338984,161.22418644067798,11.163889999999999,1.38316,0.68123,11.162975000000001,1.3822449999999997,0.6803149999999999,
2024-05-01 01:00:00+00:00,12.178983050847458,12.545084745762711,155.95299999999997,11.231213559322034,1.4504835593220338,0.7485535593220339,11.23154406779661,1.4508140677966102,0.7488840677966102,
2024-05-01 02:00:00+00:00,11.772,11.754000000000001,225.1363333333333,11.239625,1.4588950000000003,0.756965,11.239951666666668,1.4592216666666666,0.7572916666666667,
2024-05-01 03:00:00+00:00,26.04,25.878,84.91966666666666,11.232178333333332,1.4514483333333335,0.7495183333333333,11.234559999999998,1.4538299999999997,0.7519,
2024-05-01 04:00:00+00:00,25.032,25.680000000000003,189.20299999999997,11.187603333333332,1.4068733333333332,0.7049433333333333,11.18651,1.40578,0.7038500000000001,
2024-05-01 05:00:00+00:00,19.291034482758622,18.980689655172412,265.4012758620689,11.235757627118645,1.4550276271186442,0.753097627118644,11.23463220338983,1.4539022033898303,0.7519722033898306,
2024-05-01 06:00:00+00:00,10.77,10.781999999999998,312.36966666666666,11.093855000000001,1.313125,0.611195,11.094945000000001,1.3142150000000001,0.6122850000000001,
2024-05-01 07:00:00+00:00,13.350000000000001,13.344,320.8863333333333,10.886496666666666,1.1057666666666668,0.4038366666666666,10.887713333333334,1.1069833333333332,0.4050533333333333,
2024-05-01 08:00:00+00:00,14.088000000000001,14.04,341.9696666666667,10.925481666666666,1.1447516666666666,0.4428216666666666,10.925393333333334,1.1446633333333334,0.4427333333333333,
2024-05-01 09:00:00+00:00,16.35254237288136,16.181694915254237,329.78350847457625,10.934362711864406,1.1536327118644067,0.45170271186440675,10.935454237288136,1.1547242372881354,0.45279423728813556,
2024-05-01 10:00:00+00:00,12.402,12.396,205.28633333333335,10.8468593220339,1.066129322033898,0.36419932203389827,10.846244067796611,1.0655140677966102,0.3635840677966102,
2024-05-01 11:00:00+00:00,21.726000000000003,21.558,105.98633333333333,10.856958333333335,1.0762283333333333,0.37429833333333334,10.85642,1.07569,0.37376,
2024-05-01 12:00:00+00:00,23.988,23.79,84.953,10.928898333333334,1.1481683333333335,0.4462383333333333,10.929858333333332,1.1491283333333333,0.44719833333333336,
2024-05-01 13:00:00+00:00,12.636,12.450000000000001,57.053000000000004,10.922453333333333,1.1417233333333334,0.43979333333333337,10.922168333333333,1.1414383333333333,0.43950833333333333,
2024-05-01 14:00:00+00:00,16.992,17.273999999999997,74.253,10.957666666666666,1.1769366666666665,0.4750066666666667,10.956043333333332,1.1753133333333334,0.4733833333333334,
2024-05-01 15:00:00+00:00,21.93,22.116,95.703,11.099546666666667,1.3188166666666665,0.6168866666666667,11.099043333333332,1.3183133333333332,0.6163833333333334,
2024-05-01 16:00:00+00:00,15.839999999999998,15.771724137931033,89.12541379310345,11.054130508474577,1.2734005084745763,0.5714705084745763,11.054545762711864,1.2738157627118643,0.5718857627118644,
2024-05-01 17:00:00+00:00,13.5,13.662,55.01966666666667,11.001276666666667,1.2205466666666667,0.5186166666666666,11.001941666666667,1.2212116666666666,0.5192816666666666,
2024-05-01 18:00:00+00:00,11.364,11.334000000000001,65.28633333333333,10.913574576271184,1.1328445762711865,0.4309145762711865,10.914316949152543,1.1335869491525425,0.4316569491525424,
2024-05-01 19:00:00+00:00,11.215862068965516,11.34,87.71162068965518,10.969294915254236,1.1885649152542372,0.4866349152542373,10.968654237288135,1.1879242372881356,0.4859942372881356,
2024-05-01 20:00:00+00:00,10.128813559322035,10.299661016949154,102.17333898305084,10.7449,0.96417,0.26224000000000003,10.845937288135593,1.0652072881355932,0.3632772881355932,
2024-05-01 21:00:00+00:00,8.021999999999998,7.788000000000001,108.93633333333334,11.136468333333333,1.3557383333333335,0.6538083333333333,11.133651666666667,1.3529216666666668,0.6509916666666666,
2024-05-01 22:00:00+00:00,13.452,13.278,80.53633333333333,11.199648333333332,1.4189183333333333,0.7169883333333334,11.199850000000001,1.4191199999999997,0.7171900000000001,
2024-05-01 23:00:00+00:00,13.8,14.034,112.71966666666667,11.236595000000001,1.455865,0.7539349999999999,11.236361666666667,1.4556316666666669,0.7537016666666666,
2024-05-02 00:00:00+00:00,12.39,12.576,141.75300000000001,11.309826666666666,1.5290966666666665,0.8271666666666667,11.309593333333332,1.5288633333333335,0.8269333333333334,
2024-05-02 01:00:00+00:00,13.38,13.475999999999999,119.36966666666667,11.316496666666668,1.5357666666666667,0.8338366666666667,11.316188333333335,1.5354583333333331,0.8335283333333333,
2024-05-02 02:00:00+00:00,14.724,14.628,112.93633333333334,11.464558333333335,1.683828333333333,0.9818983333333334,11.463436666666666,1.6827066666666668,0.9807766666666666,
2024-05-02 03:00:00+00:00,16.776,16.59,103.73633333333333,11.582883333333335,1.8021533333333335,1.1002233333333333,11.581861666666667,1.8011316666666668,1.0992016666666666,
2024-05-02 04:00:00+00:00,16.776,16.926000000000002,106.13633333333334,11.621974999999999,1.8412449999999998,1.139315,11.622543333333333,1.8418133333333333,1.1398833333333334,
2024-05-02 05:00:00+00:00,17.34,17.573999999999998,87.23633333333333,11.480838333333333,1.7001083333333333,0.9981783333333333,11.481223333333332,1.7004933333333332,0.9985633333333334,
2024-05-02 06:00:00+00:00,15.138,15.156,60.56966666666667,11.334488333333331,1.5537583333333334,0.8518283333333333,11.335535000000002,1.554805,0.8528749999999999,
